✓ Successfully loaded & adapted pretrained weights from /home/ct_24210860031/812code/SYR/models/pad_bridge_pre/bridge_pre.pt
Missing keys after load (ok if due to config changes): 7
/home/ct_24210860031/812code/SYR/baselinepad/train_robot.py:294: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  resume_checkpoint = torch.load(args.resume, map_location='cpu')
✓ Resumed from checkpoint: /home/ct_24210860031/812code/SYR/baselinepad/results/metaworld_a100_20251124_105621/000-DiT-XL-2-2025-11-24-10-56-46/checkpoints/0140000.pt
✓ Starting from epoch 53, step 140000
✓ Action training will be enabled
[[34m2025-11-24 22:57:08[0m] DiT Parameters: 677,401,464
length of dataset 161132
[[34m2025-11-24 22:57:11[0m] Global batch size 64 num_processes (4)
[[34m2025-11-24 22:57:11[0m] Dataset contains 161,132 images (/home/ct_24210860031/812datasets/SYR/metaworld_features)
[[34m2025-11-24 22:57:11[0m] Using cosine annealing scheduler: warmup_steps=10000, total_steps=3776531, min_lr_ratio=0.01
✓ Restored optimizer and scheduler states
[[34m2025-11-24 22:57:14[0m] Training for 1500 epochs...
[[34m2025-11-24 22:57:14[0m] Beginning epoch 53...
[[34m2025-11-24 22:58:19[0m] (step=0140100) Train Loss image: 0.003493, Train Loss action:0.010804, Train Loss depth:0.000000, Train Steps/Sec: 1.54, LR: 9.97e-05
[[34m2025-11-24 22:59:17[0m] (step=0140200) Train Loss image: 0.004090, Train Loss action:0.013168, Train Loss depth:0.000000, Train Steps/Sec: 1.72, LR: 9.97e-05
[[34m2025-11-24 23:00:15[0m] (step=0140300) Train Loss image: 0.005343, Train Loss action:0.018064, Train Loss depth:0.000000, Train Steps/Sec: 1.72, LR: 9.97e-05
[[34m2025-11-24 23:01:13[0m] (step=0140400) Train Loss image: 0.005625, Train Loss action:0.020335, Train Loss depth:0.000000, Train Steps/Sec: 1.73, LR: 9.97e-05
[[34m2025-11-24 23:02:11[0m] (step=0140500) Train Loss image: 0.004224, Train Loss action:0.017317, Train Loss depth:0.000000, Train Steps/Sec: 1.73, LR: 9.97e-05
[[34m2025-11-24 23:03:09[0m] (step=0140600) Train Loss image: 0.004150, Train Loss action:0.013907, Train Loss depth:0.000000, Train Steps/Sec: 1.73, LR: 9.97e-05
[[34m2025-11-24 23:04:07[0m] (step=0140700) Train Loss image: 0.005687, Train Loss action:0.020512, Train Loss depth:0.000000, Train Steps/Sec: 1.73, LR: 9.97e-05
[[34m2025-11-24 23:05:05[0m] (step=0140800) Train Loss image: 0.006509, Train Loss action:0.019351, Train Loss depth:0.000000, Train Steps/Sec: 1.72, LR: 9.97e-05
[[34m2025-11-24 23:06:03[0m] (step=0140900) Train Loss image: 0.005191, Train Loss action:0.016968, Train Loss depth:0.000000, Train Steps/Sec: 1.72, LR: 9.97e-05
[[34m2025-11-24 23:07:01[0m] (step=0141000) Train Loss image: 0.005062, Train Loss action:0.016704, Train Loss depth:0.000000, Train Steps/Sec: 1.73, LR: 9.97e-05
[[34m2025-11-24 23:07:59[0m] (step=0141100) Train Loss image: 0.005394, Train Loss action:0.016689, Train Loss depth:0.000000, Train Steps/Sec: 1.73, LR: 9.97e-05
[[34m2025-11-24 23:08:57[0m] (step=0141200) Train Loss image: 0.003585, Train Loss action:0.009934, Train Loss depth:0.000000, Train Steps/Sec: 1.73, LR: 9.97e-05
[[34m2025-11-24 23:09:54[0m] (step=0141300) Train Loss image: 0.003812, Train Loss action:0.011897, Train Loss depth:0.000000, Train Steps/Sec: 1.73, LR: 9.97e-05
[[34m2025-11-24 23:10:52[0m] (step=0141400) Train Loss image: 0.004352, Train Loss action:0.014579, Train Loss depth:0.000000, Train Steps/Sec: 1.73, LR: 9.97e-05
[[34m2025-11-24 23:11:50[0m] (step=0141500) Train Loss image: 0.004583, Train Loss action:0.015452, Train Loss depth:0.000000, Train Steps/Sec: 1.72, LR: 9.97e-05
[[34m2025-11-24 23:12:48[0m] (step=0141600) Train Loss image: 0.004045, Train Loss action:0.015299, Train Loss depth:0.000000, Train Steps/Sec: 1.72, LR: 9.97e-05
[[34m2025-11-24 23:13:46[0m] (step=0141700) Train Loss image: 0.006087, Train Loss action:0.025255, Train Loss depth:0.000000, Train Steps/Sec: 1.72, LR: 9.97e-05
[[34m2025-11-24 23:14:44[0m] (step=0141800) Train Loss image: 0.004953, Train Loss action:0.017464, Train Loss depth:0.000000, Train Steps/Sec: 1.73, LR: 9.97e-05
[[34m2025-11-24 23:15:42[0m] (step=0141900) Train Loss image: 0.004695, Train Loss action:0.012692, Train Loss depth:0.000000, Train Steps/Sec: 1.73, LR: 9.97e-05
[[34m2025-11-24 23:16:40[0m] (step=0142000) Train Loss image: 0.006558, Train Loss action:0.020023, Train Loss depth:0.000000, Train Steps/Sec: 1.72, LR: 9.97e-05
[[34m2025-11-24 23:17:38[0m] (step=0142100) Train Loss image: 0.004869, Train Loss action:0.015114, Train Loss depth:0.000000, Train Steps/Sec: 1.73, LR: 9.97e-05
