✓ Successfully loaded & adapted pretrained weights from /home/ct_24210860031/812code/SYR/models/pad_bridge_pre/bridge_pre.pt
Missing keys after load (ok if due to config changes): 7
/home/ct_24210860031/812code/SYR/baselinepad/train_robot.py:294: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  resume_checkpoint = torch.load(args.resume, map_location='cpu')
✓ Resumed from checkpoint: /home/ct_24210860031/812code/SYR/baselinepad/results_metaworld_4d/005-DiT-XL-2-2025-11-22-10-03-56/checkpoints/0020000.pt
✓ Starting from epoch 7, step 20000
✓ Action training will be enabled
[[34m2025-11-23 11:10:37[0m] DiT Parameters: 677,401,464
length of dataset 161132
[[34m2025-11-23 11:10:41[0m] Global batch size 64 num_processes (4)
[[34m2025-11-23 11:10:41[0m] Dataset contains 161,132 images (/home/ct_24210860031/812datasets/SYR/metaworld_features)
[[34m2025-11-23 11:10:41[0m] Using cosine annealing scheduler: warmup_steps=10000, total_steps=3776531, min_lr_ratio=0.01
✓ Restored optimizer and scheduler states
[[34m2025-11-23 11:10:46[0m] Training for 1500 epochs...
[[34m2025-11-23 11:10:46[0m] Beginning epoch 7...
[[34m2025-11-23 11:11:50[0m] (step=0020100) Train Loss image: 0.007486, Train Loss action:0.038811, Train Loss depth:0.000000, Train Steps/Sec: 1.55, LR: 1.00e-04
[[34m2025-11-23 11:12:48[0m] (step=0020200) Train Loss image: 0.006275, Train Loss action:0.031490, Train Loss depth:0.000000, Train Steps/Sec: 1.73, LR: 1.00e-04
[[34m2025-11-23 11:13:46[0m] (step=0020300) Train Loss image: 0.007653, Train Loss action:0.036418, Train Loss depth:0.000000, Train Steps/Sec: 1.73, LR: 1.00e-04
[[34m2025-11-23 11:14:44[0m] (step=0020400) Train Loss image: 0.008409, Train Loss action:0.040582, Train Loss depth:0.000000, Train Steps/Sec: 1.73, LR: 1.00e-04
[[34m2025-11-23 11:15:42[0m] (step=0020500) Train Loss image: 0.006378, Train Loss action:0.029748, Train Loss depth:0.000000, Train Steps/Sec: 1.73, LR: 1.00e-04
[[34m2025-11-23 11:16:40[0m] (step=0020600) Train Loss image: 0.007857, Train Loss action:0.036150, Train Loss depth:0.000000, Train Steps/Sec: 1.73, LR: 1.00e-04
[[34m2025-11-23 11:17:38[0m] (step=0020700) Train Loss image: 0.008543, Train Loss action:0.041885, Train Loss depth:0.000000, Train Steps/Sec: 1.73, LR: 1.00e-04
[[34m2025-11-23 11:18:36[0m] (step=0020800) Train Loss image: 0.007634, Train Loss action:0.040468, Train Loss depth:0.000000, Train Steps/Sec: 1.73, LR: 1.00e-04
[[34m2025-11-23 11:19:34[0m] (step=0020900) Train Loss image: 0.006428, Train Loss action:0.030389, Train Loss depth:0.000000, Train Steps/Sec: 1.73, LR: 1.00e-04
[[34m2025-11-23 11:20:31[0m] (step=0021000) Train Loss image: 0.007203, Train Loss action:0.039179, Train Loss depth:0.000000, Train Steps/Sec: 1.73, LR: 1.00e-04
[[34m2025-11-23 11:21:29[0m] (step=0021100) Train Loss image: 0.006232, Train Loss action:0.035065, Train Loss depth:0.000000, Train Steps/Sec: 1.73, LR: 1.00e-04
[[34m2025-11-23 11:22:27[0m] (step=0021200) Train Loss image: 0.008100, Train Loss action:0.035751, Train Loss depth:0.000000, Train Steps/Sec: 1.73, LR: 1.00e-04
[[34m2025-11-23 11:23:25[0m] (step=0021300) Train Loss image: 0.006856, Train Loss action:0.031210, Train Loss depth:0.000000, Train Steps/Sec: 1.73, LR: 1.00e-04
[[34m2025-11-23 11:24:23[0m] (step=0021400) Train Loss image: 0.007370, Train Loss action:0.034224, Train Loss depth:0.000000, Train Steps/Sec: 1.73, LR: 1.00e-04
[[34m2025-11-23 11:25:20[0m] (step=0021500) Train Loss image: 0.005468, Train Loss action:0.030746, Train Loss depth:0.000000, Train Steps/Sec: 1.73, LR: 1.00e-04
[[34m2025-11-23 11:26:18[0m] (step=0021600) Train Loss image: 0.006654, Train Loss action:0.029949, Train Loss depth:0.000000, Train Steps/Sec: 1.73, LR: 1.00e-04
[[34m2025-11-23 11:27:16[0m] (step=0021700) Train Loss image: 0.007037, Train Loss action:0.028605, Train Loss depth:0.000000, Train Steps/Sec: 1.73, LR: 1.00e-04
[[34m2025-11-23 11:28:14[0m] (step=0021800) Train Loss image: 0.005973, Train Loss action:0.034169, Train Loss depth:0.000000, Train Steps/Sec: 1.73, LR: 1.00e-04
[[34m2025-11-23 11:29:11[0m] (step=0021900) Train Loss image: 0.007567, Train Loss action:0.039806, Train Loss depth:0.000000, Train Steps/Sec: 1.73, LR: 1.00e-04
[[34m2025-11-23 11:30:09[0m] (step=0022000) Train Loss image: 0.006700, Train Loss action:0.032766, Train Loss depth:0.000000, Train Steps/Sec: 1.73, LR: 1.00e-04
[[34m2025-11-23 11:31:07[0m] (step=0022100) Train Loss image: 0.005473, Train Loss action:0.029014, Train Loss depth:0.000000, Train Steps/Sec: 1.73, LR: 1.00e-04
