✓ Successfully loaded & adapted pretrained weights from /home/ct_24210860031/812code/SYR/models/pad_bridge_pre/bridge_pre.pt
Missing keys after load (ok if due to config changes): 7
/home/ct_24210860031/812code/SYR/baselinepad/train_robot.py:294: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  resume_checkpoint = torch.load(args.resume, map_location='cpu')
✓ Resumed from checkpoint: /home/ct_24210860031/812code/SYR/baselinepad/results_metaworld_4d/005-DiT-XL-2-2025-11-22-10-03-56/checkpoints/0020000.pt
✓ Starting from epoch 7, step 20000
✓ Action training will be enabled
[[34m2025-11-23 23:40:46[0m] DiT Parameters: 677,401,464
length of dataset 161132
[[34m2025-11-23 23:40:49[0m] Global batch size 64 num_processes (4)
[[34m2025-11-23 23:40:49[0m] Dataset contains 161,132 images (/home/ct_24210860031/812datasets/SYR/metaworld_features)
[[34m2025-11-23 23:40:49[0m] Using cosine annealing scheduler: warmup_steps=10000, total_steps=3776531, min_lr_ratio=0.01
✓ Restored optimizer and scheduler states
[[34m2025-11-23 23:40:55[0m] Training for 1500 epochs...
[[34m2025-11-23 23:40:55[0m] Beginning epoch 7...
[[34m2025-11-23 23:41:59[0m] (step=0020100) Train Loss image: 0.005845, Train Loss action:0.030927, Train Loss depth:0.000000, Train Steps/Sec: 1.56, LR: 1.00e-04
[[34m2025-11-23 23:42:56[0m] (step=0020200) Train Loss image: 0.007035, Train Loss action:0.038102, Train Loss depth:0.000000, Train Steps/Sec: 1.73, LR: 1.00e-04
[[34m2025-11-23 23:43:54[0m] (step=0020300) Train Loss image: 0.006232, Train Loss action:0.033187, Train Loss depth:0.000000, Train Steps/Sec: 1.73, LR: 1.00e-04
[[34m2025-11-23 23:44:52[0m] (step=0020400) Train Loss image: 0.007692, Train Loss action:0.032658, Train Loss depth:0.000000, Train Steps/Sec: 1.73, LR: 1.00e-04
[[34m2025-11-23 23:45:50[0m] (step=0020500) Train Loss image: 0.007344, Train Loss action:0.035284, Train Loss depth:0.000000, Train Steps/Sec: 1.73, LR: 1.00e-04
[[34m2025-11-23 23:46:47[0m] (step=0020600) Train Loss image: 0.005129, Train Loss action:0.027193, Train Loss depth:0.000000, Train Steps/Sec: 1.73, LR: 1.00e-04
[[34m2025-11-23 23:47:45[0m] (step=0020700) Train Loss image: 0.006722, Train Loss action:0.034134, Train Loss depth:0.000000, Train Steps/Sec: 1.73, LR: 1.00e-04
[[34m2025-11-23 23:48:43[0m] (step=0020800) Train Loss image: 0.007139, Train Loss action:0.034321, Train Loss depth:0.000000, Train Steps/Sec: 1.73, LR: 1.00e-04
[[34m2025-11-23 23:49:41[0m] (step=0020900) Train Loss image: 0.007551, Train Loss action:0.035468, Train Loss depth:0.000000, Train Steps/Sec: 1.73, LR: 1.00e-04
[[34m2025-11-23 23:50:38[0m] (step=0021000) Train Loss image: 0.006439, Train Loss action:0.033385, Train Loss depth:0.000000, Train Steps/Sec: 1.73, LR: 1.00e-04
[[34m2025-11-23 23:51:36[0m] (step=0021100) Train Loss image: 0.006489, Train Loss action:0.031788, Train Loss depth:0.000000, Train Steps/Sec: 1.73, LR: 1.00e-04
[[34m2025-11-23 23:52:34[0m] (step=0021200) Train Loss image: 0.008197, Train Loss action:0.035038, Train Loss depth:0.000000, Train Steps/Sec: 1.73, LR: 1.00e-04
[[34m2025-11-23 23:53:31[0m] (step=0021300) Train Loss image: 0.009281, Train Loss action:0.034454, Train Loss depth:0.000000, Train Steps/Sec: 1.73, LR: 1.00e-04
[[34m2025-11-23 23:54:29[0m] (step=0021400) Train Loss image: 0.006578, Train Loss action:0.032405, Train Loss depth:0.000000, Train Steps/Sec: 1.73, LR: 1.00e-04
[[34m2025-11-23 23:55:27[0m] (step=0021500) Train Loss image: 0.007709, Train Loss action:0.033852, Train Loss depth:0.000000, Train Steps/Sec: 1.73, LR: 1.00e-04
[[34m2025-11-23 23:56:25[0m] (step=0021600) Train Loss image: 0.007191, Train Loss action:0.037408, Train Loss depth:0.000000, Train Steps/Sec: 1.73, LR: 1.00e-04
[[34m2025-11-23 23:57:22[0m] (step=0021700) Train Loss image: 0.006874, Train Loss action:0.029697, Train Loss depth:0.000000, Train Steps/Sec: 1.73, LR: 1.00e-04
[[34m2025-11-23 23:58:20[0m] (step=0021800) Train Loss image: 0.004794, Train Loss action:0.025599, Train Loss depth:0.000000, Train Steps/Sec: 1.73, LR: 1.00e-04
[[34m2025-11-23 23:59:18[0m] (step=0021900) Train Loss image: 0.006933, Train Loss action:0.032193, Train Loss depth:0.000000, Train Steps/Sec: 1.73, LR: 1.00e-04
[[34m2025-11-24 00:00:15[0m] (step=0022000) Train Loss image: 0.005879, Train Loss action:0.029006, Train Loss depth:0.000000, Train Steps/Sec: 1.73, LR: 1.00e-04
[[34m2025-11-24 00:01:13[0m] (step=0022100) Train Loss image: 0.007346, Train Loss action:0.034388, Train Loss depth:0.000000, Train Steps/Sec: 1.73, LR: 1.00e-04
