✓ Successfully loaded & adapted pretrained weights from /home/ct_24210860031/812code/SYR/models/pad_bridge_pre/bridge_pre.pt
Missing keys after load (ok if due to config changes): 7
/home/ct_24210860031/812code/SYR/baselinepad/train_robot.py:294: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  resume_checkpoint = torch.load(args.resume, map_location='cpu')
✓ Resumed from checkpoint: /home/ct_24210860031/812code/SYR/baselinepad/results/metaworld_a100_20251125_202915/000-DiT-XL-2-2025-11-25-20-31-04/checkpoints/0165000.pt
✓ Starting from epoch 59, step 165000
✓ Action training will be enabled
[[34m2025-11-27 10:57:32[0m] DiT Parameters: 677,401,464
length of dataset 176129
[[34m2025-11-27 10:57:38[0m] Global batch size 64 num_processes (4)
[[34m2025-11-27 10:57:38[0m] Dataset contains 176,129 images (/home/ct_24210860031/812datasets/SYR/metaworld_features)
✓ Restored optimizer and scheduler states
[[34m2025-11-27 10:57:46[0m] Training for 120 epochs...
[[34m2025-11-27 10:57:46[0m] Beginning epoch 59...
[[34m2025-11-27 10:59:31[0m] (step=0165100) Train Loss image: 0.016448, Train Loss action:0.022734, Train Loss depth:0.000000, Train Steps/Sec: 0.95, LR: 1.00e-04
[[34m2025-11-27 11:00:59[0m] (step=0165200) Train Loss image: 0.014196, Train Loss action:0.016424, Train Loss depth:0.000000, Train Steps/Sec: 1.13, LR: 1.00e-04
[[34m2025-11-27 11:02:26[0m] (step=0165300) Train Loss image: 0.018640, Train Loss action:0.021198, Train Loss depth:0.000000, Train Steps/Sec: 1.15, LR: 1.00e-04
[[34m2025-11-27 11:03:51[0m] (step=0165400) Train Loss image: 0.015611, Train Loss action:0.016129, Train Loss depth:0.000000, Train Steps/Sec: 1.18, LR: 1.00e-04
[[34m2025-11-27 11:05:17[0m] (step=0165500) Train Loss image: 0.015304, Train Loss action:0.015743, Train Loss depth:0.000000, Train Steps/Sec: 1.16, LR: 1.00e-04
[[34m2025-11-27 11:06:45[0m] (step=0165600) Train Loss image: 0.016880, Train Loss action:0.016627, Train Loss depth:0.000000, Train Steps/Sec: 1.14, LR: 1.00e-04
[[34m2025-11-27 11:08:11[0m] (step=0165700) Train Loss image: 0.015525, Train Loss action:0.018003, Train Loss depth:0.000000, Train Steps/Sec: 1.16, LR: 1.00e-04
[[34m2025-11-27 11:09:36[0m] (step=0165800) Train Loss image: 0.017513, Train Loss action:0.018155, Train Loss depth:0.000000, Train Steps/Sec: 1.17, LR: 1.00e-04
[[34m2025-11-27 11:11:00[0m] (step=0165900) Train Loss image: 0.015952, Train Loss action:0.018243, Train Loss depth:0.000000, Train Steps/Sec: 1.19, LR: 1.00e-04
[[34m2025-11-27 11:12:24[0m] (step=0166000) Train Loss image: 0.016519, Train Loss action:0.018262, Train Loss depth:0.000000, Train Steps/Sec: 1.19, LR: 1.00e-04
[[34m2025-11-27 11:13:46[0m] (step=0166100) Train Loss image: 0.015878, Train Loss action:0.016524, Train Loss depth:0.000000, Train Steps/Sec: 1.22, LR: 1.00e-04
[[34m2025-11-27 11:15:12[0m] (step=0166200) Train Loss image: 0.017937, Train Loss action:0.016354, Train Loss depth:0.000000, Train Steps/Sec: 1.17, LR: 1.00e-04
[[34m2025-11-27 11:16:38[0m] (step=0166300) Train Loss image: 0.013541, Train Loss action:0.014009, Train Loss depth:0.000000, Train Steps/Sec: 1.16, LR: 1.00e-04
[[34m2025-11-27 11:18:10[0m] (step=0166400) Train Loss image: 0.015858, Train Loss action:0.017334, Train Loss depth:0.000000, Train Steps/Sec: 1.08, LR: 1.00e-04
[[34m2025-11-27 11:19:39[0m] (step=0166500) Train Loss image: 0.016542, Train Loss action:0.019249, Train Loss depth:0.000000, Train Steps/Sec: 1.13, LR: 1.00e-04
[[34m2025-11-27 11:21:07[0m] (step=0166600) Train Loss image: 0.014571, Train Loss action:0.014743, Train Loss depth:0.000000, Train Steps/Sec: 1.14, LR: 1.00e-04
[[34m2025-11-27 11:22:31[0m] (step=0166700) Train Loss image: 0.015043, Train Loss action:0.017168, Train Loss depth:0.000000, Train Steps/Sec: 1.19, LR: 1.00e-04
[[34m2025-11-27 11:23:56[0m] (step=0166800) Train Loss image: 0.012921, Train Loss action:0.014477, Train Loss depth:0.000000, Train Steps/Sec: 1.17, LR: 1.00e-04
[[34m2025-11-27 11:25:22[0m] (step=0166900) Train Loss image: 0.016333, Train Loss action:0.018652, Train Loss depth:0.000000, Train Steps/Sec: 1.16, LR: 1.00e-04
[[34m2025-11-27 11:26:49[0m] (step=0167000) Train Loss image: 0.015110, Train Loss action:0.017848, Train Loss depth:0.000000, Train Steps/Sec: 1.15, LR: 1.00e-04
[[34m2025-11-27 11:28:15[0m] (step=0167100) Train Loss image: 0.016172, Train Loss action:0.019949, Train Loss depth:0.000000, Train Steps/Sec: 1.17, LR: 1.00e-04
[[34m2025-11-27 11:29:40[0m] (step=0167200) Train Loss image: 0.016397, Train Loss action:0.017064, Train Loss depth:0.000000, Train Steps/Sec: 1.17, LR: 1.00e-04
